STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,WT09
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-06-2000,10.96,1149,1153,0,,,67,77,56,,310,300,23,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-06-2000,10.96,1611,1611,0,,,64,72,55,,310,300,21.9,25.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-06-2000,9.62,1722,1722,0,,,66,74,57,,290,290,21.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-06-2000,13.87,839,832,0,,,64,70,57,,230,220,21,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-06-2000,9.4,1452,1501,0,,,64,71,56,,300,290,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-06-2000,8.5,1712,1716,0.01,,,63,72,54,,310,300,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-06-2000,10.07,1512,1521,0,,,64,74,54,,290,310,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-06-2000,11.18,2331,2359,0,,,59,64,54,,250,250,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-06-2000,10.96,403,542,0,,,61,67,54,,250,240,17.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-06-2000,9.4,1350,1349,0,,,64,71,56,,300,300,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-06-2000,10.74,1425,1408,0,,,63,70,56,,290,300,19.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-06-2000,8.28,1439,1420,0,,,64,72,56,,300,310,17,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-06-2000,9.62,1647,1652,0,,,63,70,56,,300,300,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-06-2000,10.29,1250,1345,0,,,62,68,56,,290,300,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-06-2000,11.41,1659,1658,0,,,62,67,56,,280,290,21.9,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-06-2000,12.53,1749,1725,0,,,60,64,55,,270,270,21.9,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-07-2000,11.41,39,1534,0,,,60,65,55,,240,250,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-07-2000,14.99,1452,1452,0,,,58,62,54,,250,250,21,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-07-2000,13.2,1816,1711,0,,,59,63,54,,250,260,17,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-07-2000,11.18,1811,1809,0,,,60,67,53,,270,270,23.9,28,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-07-2000,15.66,1500,1452,0,,,59,64,54,,260,250,23,30,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-07-2000,12.97,1731,1731,0,,,61,67,54,,280,280,23,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-07-2000,13.2,1814,1823,0,,,62,68,56,,270,260,19.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-07-2000,10.07,1734,1804,0,,,62,68,56,,290,290,19.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-07-2000,9.4,1649,1403,0,,,62,69,54,,300,290,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-07-2000,8.95,1552,1450,0,,,62,69,55,,310,320,19.9,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-07-2000,9.4,1459,1519,0,,,63,69,57,,310,310,21,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-07-2000,10.96,1749,1603,0,,,64,70,57,,290,300,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-07-2000,10.74,1644,1638,0.02,,,63,71,55,,270,270,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-07-2000,8.95,1658,1510,0,,,63,70,55,,280,280,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-07-2000,10.29,1740,1442,0,,,61,65,56,,290,280,19.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-07-2000,11.41,1851,1923,0,,,59,61,56,,270,270,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-07-2000,12.3,1811,1824,0,,,62,65,58,,270,250,17.9,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-07-2000,9.62,1814,1813,0,,,65,72,57,,280,280,19.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-07-2000,9.4,1914,1901,0,,,61,69,52,,270,270,21,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-07-2000,10.51,1332,1337,0,,,61,67,54,,280,290,23,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-07-2000,11.63,615,2055,0,,,59,64,54,,230,230,19.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-07-2000,9.4,212,212,0,,,60,68,52,,280,280,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-07-2000,7.61,1639,1643,0,,,61,72,49,,290,290,17.9,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-07-2000,10.07,1435,1415,0,,,62,73,50,,290,290,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-07-2000,9.4,1723,1723,0,,,62,69,54,,270,270,19.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-07-2000,14.76,1516,1428,0,,,62,68,55,,260,260,28,31.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-07-2000,10.07,1529,222,0,,,63,70,56,,290,260,17,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-07-2000,7.16,1422,1424,0,,,63,70,55,,280,290,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-07-2000,8.05,1652,1932,0,,,65,74,55,,290,290,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-07-2000,8.28,1622,1619,0,,,65,75,55,,290,280,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",31-07-2000,7.61,1630,1644,0,,,67,79,55,,300,300,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-08-2000,6.93,1602,1601,0,,,73,88,57,,310,300,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-08-2000,7.38,1451,1348,0,,,66,74,58,,290,310,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-08-2000,10.07,1905,1905,0,,,63,69,56,,300,300,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-08-2000,8.5,1312,1312,0,,,62,68,55,,280,280,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-08-2000,9.84,1654,1916,0,,,61,66,55,,270,250,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-08-2000,11.63,1605,1605,0,,,60,63,57,,270,270,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-08-2000,9.4,1542,1540,0,,,63,68,57,,280,280,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-08-2000,10.51,1649,1905,0,,,64,69,58,,280,260,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-08-2000,10.74,1510,1923,0,,,62,69,54,,270,260,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-08-2000,7.61,1501,1458,0,,,67,80,53,,310,310,16.1,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-08-2000,9.17,1655,1659,0,,,63,73,53,,280,280,21,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-08-2000,7.61,1713,1718,0,,,62,73,50,,280,280,17,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-08-2000,6.26,1414,1830,0.01,,,63,76,50,,290,250,17,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-08-2000,7.16,1517,1515,0,,,62,74,49,,280,280,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-08-2000,7.38,1523,1522,0,,,65,79,51,,290,290,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-08-2000,9.84,1910,1816,0,,,60,71,49,,270,270,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-08-2000,9.84,1734,1829,0,,,62,70,54,,280,240,17,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-08-2000,12.08,1520,1526,0,,,62,68,56,,260,260,31.1,34.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-08-2000,7.16,1457,1429,0,,,63,71,54,,280,280,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-08-2000,8.5,1551,1602,0,,,61,70,51,,310,310,19.9,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-08-2000,8.5,1338,1338,0,,,64,72,55,,300,310,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-08-2000,11.86,1545,1513,0,,,63,68,58,,280,270,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-08-2000,7.83,1552,1543,0,,,67,77,57,,290,290,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-08-2000,8.72,1856,1856,0.02,,,64,74,53,,280,280,17.9,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-08-2000,9.17,1629,1541,0,,,61,69,53,,290,290,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-08-2000,8.28,1508,1508,0,,,64,71,56,,290,280,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-08-2000,10.07,1516,1526,0,,,62,70,54,,300,310,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-08-2000,7.38,1624,1624,0,,,60,62,58,,270,280,17,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-08-2000,7.83,1550,1607,0,,,63,68,58,,290,310,14.1,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",31-08-2000,8.28,1522,1825,0,,,64,69,59,0,230,240,15,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-09-2000,8.05,631,621,0.16,,,61,64,58,,210,210,15,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-09-2000,7.16,1552,1553,0,,,63,70,55,,270,270,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-09-2000,11.18,1535,1608,0,,,59,69,49,,280,280,23.9,25.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-09-2000,9.17,1639,1650,0,,,59,68,49,0,280,280,23,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-09-2000,6.71,1456,1518,0,,,63,76,49,0,270,270,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-09-2000,6.49,1520,1618,0,,,66,82,50,,290,290,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-09-2000,5.37,1809,1630,,,,69,86,51,,310,290,14.1,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-09-2000,8.28,1729,1702,0,,,63,72,53,,280,280,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-09-2000,6.93,1452,1625,0,,,61,70,51,,290,290,17,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-09-2000,6.49,1448,1432,0,,,60,70,50,,290,280,15,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-09-2000,5.82,1506,1550,0,,,64,75,52,,300,310,15,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-09-2000,4.7,1636,1635,0,,,64,78,50,,260,260,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-09-2000,6.26,2241,2253,0,,,72,83,61,,220,220,21.9,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-09-2000,10.07,152,147,0,,,67,73,61,,210,210,21.9,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-09-2000,9.62,1715,1714,0,,,64,69,59,,280,280,21.9,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-09-2000,5.37,1536,1537,0,,,64,72,56,,300,310,14.1,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-09-2000,5.82,1615,1642,0,,,72,91,53,,300,310,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-09-2000,5.59,1409,1445,0,,,72,87,57,,310,320,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-09-2000,5.59,1320,1319,0,,,73,89,56,,310,300,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-09-2000,8.72,1646,1624,0,,,71,81,61,,330,330,21,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-09-2000,16.11,130,129,0,,,68,72,63,,230,230,25.1,30,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-09-2000,9.62,47,7,0,,,62,69,55,,220,220,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-09-2000,6.26,1749,1749,0,,,63,74,51,,290,290,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-09-2000,5.82,1732,1731,0,,,62,75,49,,290,290,16.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-09-2000,7.16,1531,1530,0,,,63,76,50,,300,300,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-09-2000,7.61,1546,1402,0,,,63,70,55,,290,290,16.1,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-09-2000,11.41,1559,1558,0,,,62,68,55,,270,260,17.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-09-2000,8.95,246,223,0,,,60,62,58,,270,280,23.9,29.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-09-2000,5.59,1445,1436,0,,,63,74,52,,300,300,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-09-2000,6.04,1710,1637,0.01,,,68,83,53,,310,300,13,15,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-10-2000,7.83,1738,1736,0,,,65,73,57,,310,310,17,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-10-2000,8.95,1544,1544,0,,,62,66,57,0,280,290,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-10-2000,7.61,1510,1521,0,,,60,67,53,0,290,290,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-10-2000,7.38,1557,1555,0,,,60,66,53,0,300,290,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-10-2000,6.93,1501,1439,0,,,61,66,55,0,290,280,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-10-2000,8.72,1559,1558,0,,,59,63,55,0,280,280,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-10-2000,10.29,1303,617,0,,,61,66,56,0,270,280,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-10-2000,8.95,2048,2130,0,,,58,65,51,0,260,250,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-10-2000,11.41,1113,1058,0.01,,,62,65,58,0,240,240,19.9,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-10-2000,12.08,1332,1331,0.01,,,58,64,52,0,270,280,23.9,25.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-10-2000,7.83,1346,1345,0,,,57,63,51,,260,260,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-10-2000,5.37,1738,1759,0,,,57,65,48,,290,290,15,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-10-2000,6.93,1548,1547,0,,,57,67,46,,280,280,15,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-10-2000,7.61,1443,1438,0,,,57,65,49,,280,290,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-10-2000,5.59,1405,1613,0.01,,,58,67,48,,310,300,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",16-10-2000,5.37,1528,1530,0,,,61,76,45,0,310,310,13,14.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",17-10-2000,6.71,2112,2111,,,,59,70,47,,280,270,15,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",18-10-2000,5.82,1730,1729,0,,,57,66,48,,280,280,19.9,21.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",19-10-2000,4.92,1554,1722,0,,,59,69,48,0,300,290,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",20-10-2000,6.93,1724,1726,0.01,,,57,66,48,0,280,280,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",21-10-2000,11.63,1830,1829,0,,,62,73,50,,360,360,25.9,33.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",22-10-2000,17.22,950,950,0.01,,,65,74,55,0,40,40,51.9,62,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",23-10-2000,6.71,428,449,0,,,60,73,47,0,50,60,17,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",24-10-2000,7.16,2352,2359,0,,,59,73,45,0,200,180,21,23,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",25-10-2000,13.42,1440,1439,0.32,,,59,62,56,0,220,220,23,25.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",26-10-2000,9.4,2050,2117,0.94,,,56,58,54,,30,30,21.9,23.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",27-10-2000,8.5,1654,1654,0,,,58,63,52,0,280,280,17,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",28-10-2000,13.87,1130,1056,0.39,,,55,58,51,0,160,160,28,36,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",29-10-2000,8.72,2121,2120,0.51,,,56,61,51,0,240,240,17,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",30-10-2000,9.4,842,846,0.1,,,54,61,47,,140,150,17.9,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",31-10-2000,3.8,1624,1622,0,,,54,64,43,,300,290,13,15,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",01-11-2000,2.46,1511,1519,0.01,,,52,60,44,,280,280,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",02-11-2000,4.7,1730,1729,0.01,,,55,65,44,,300,300,10.1,12.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",03-11-2000,7.16,1116,833,0,,,63,75,51,,50,40,21,28,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",04-11-2000,7.61,1435,1803,0,,,54,63,45,,300,280,17.9,21,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",05-11-2000,5.59,111,110,0,,,55,60,49,0,250,250,15,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",06-11-2000,7.38,1454,1556,0,,,56,70,42,,350,350,19.9,25.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",07-11-2000,7.38,2355,2354,0,,,58,67,48,0,340,330,14.1,17.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",08-11-2000,10.29,1524,1523,0,,,52,60,44,0,270,270,29.1,32,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",09-11-2000,12.97,1336,1521,0,,,53,58,47,0,270,280,21.9,28,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",10-11-2000,7.61,1703,1723,0,,,47,55,39,0,270,280,16.1,17,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",11-11-2000,4.92,1737,1737,0,,,48,58,37,0,290,290,15,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",12-11-2000,5.14,1756,1645,0,,,46,58,34,0,280,260,13,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",13-11-2000,7.38,1530,1504,0.05,,,45,55,34,0,240,220,16.1,19.9,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",14-11-2000,6.26,1802,1726,0,,,46,55,37,0,280,280,14.1,16.1,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",15-11-2000,4.47,2332,2331,0.06,,,47,55,39,,40,40,12.1,14.1,,,,,,
